Contract Address,Risky Mutable Proxy,ERC-721 Re-entrancy,Unlimited Minting,Missing Requirements,Public Burn
d3619ff662273d95d6ae5be71521c623f7a9fe1c,0,0,0,0,0
91c4e037c7d67e2ab04e516acf12734b7d56d243,0,0,0,0,0
43ad28bfe10e1d31ec1229ee7b0a6491656b4e3b,0,0,0,0,0
6eED7Ab5C770Ac20E98424EfaadB2546c75a25fB,0,0,0,0,0
0a1d5aab0964d96a47706d7416a24d8703842b53,0,0,0,0,0
DE8a0b17D3Dc0468AdC65309881D9d6A6Cd66372,0,0,0,0,0
4f38b4a9837d3c1ab0bf4ec60dfbaa0040c5f75a,0,0,0,0,0
c08cac05fa0cb620d6c61d80cbbdfc311e26ad51,0,0,0,0,0
f3685509d2a8b08806f13581aae718bebfbeef07,0,0,0,0,0
836F903fF01b43135e5dBd236E26a16b78058D30,0,1,0,0,0
2130c8375ed53f26d32bb88cbdc13f67d817dd12,0,0,0,0,0
36939d6f5c16767b3590b99dbd42b0451860cf5f,0,0,0,0,0
Ce30c1d2305bB516500ee4cf076DA6B756df8648,0,0,0,0,0
42885caef223d11e010FE074D2b3E47A34F7A813,0,0,0,0,0
8329EFA3b51BD450F480822ad209275aDc73F8B5,0,0,0,0,0
7070573f5a6ebbe2806ce0ecc115655d20329a2a,0,0,0,0,0
298cc40ffd58397078ffacf3fc2a5858109c2f1b,0,0,0,0,0
d97bedf2e7295b28f71613c4bba43f2a3ec210d6,0,0,0,0,0
cb4c0a976e8b900218d255a19976ab4710427576,0,0,0,0,0
59dd5cdc54951daa6e17bdc1454bdcca670bd78e,0,0,0,0,0
70044c78d85a1fa4073ed9861fde718cfec8ebff,0,0,0,0,0
7f7D9476199B7cCe1673Dc99DEB61a2F8c39a69c,0,0,0,0,0
f47178921e9291de41f5546177cdeeacc7fa2889,0,0,0,0,0
b88392425e7b8db37d43b1eb62022c9432fd997e,0,0,0,0,0
53ba2116F013956fD4b592dE0cd2C0B505BB751d,0,0,0,0,0
A6D9363e8ee5FBe039B70A66217967DcECc0AEa5,0,0,0,0,0
a21a72cc09cc6ec5286ee38f0f35a33b298293fe,0,0,0,0,0
20bbec0d4ef1cf8f903ef071e8cd15a3c02f301a,0,0,0,0,0
733F699e7eE37bcAdf4d6098E8aCcF1BE5a16285,0,0,0,0,0
afFE52f017e858F283f5430EFb9e7A99947D1263,0,0,0,0,0
c7c18403264fa216e7c5300e575d0121e9c125c9,0,0,0,0,0
1364748db21598e16c76d5992c82524b5f8b4099,0,1,0,0,0
e8c9bb5eddded62dcf5e4f105a717d7bf539d7f1,0,0,0,0,0
8cA86e515116611849ffE761BA2C1CA096C87a36,0,0,0,0,0
2ebefbadbcf42de0030548dd5197e179cb401017,0,0,0,0,0
2e53ee628aed433dc9fd529649b2ebecf83ae259,0,0,0,0,0
1190c90E6215cfCADF7EC06AbF15259Fa4b64D4a,0,0,0,0,0
e24C9e84115819aF35A1F3142932996e0216cd44,0,0,0,0,0
0aaf7ea0763aa9eaa8f80eea021b24e1c2bac781,0,0,0,0,0
dde23f8d12c1e6792788e4905deb12f258da3566,0,0,0,0,0
DA83F39191Ae14C72745e511d875837a4A218DD7,0,0,0,0,0
6CE03527601D55354e250af1Ccd5B4bE5af2eB04,0,0,0,0,0
a0f252bbdb435f31b54cadba88b36aa94c4dedad,0,0,0,0,0
c22c0cdd214b8d47628b02a0bd3565c6eed92c0a,0,0,0,0,0
fc87eec9bd2d2290578b36b719642437dc2ecb39,0,0,0,0,0
25248e25f4358088177ff26d44b556100268b2b6,0,0,0,0,0
39621b8b325ad129ffcde73cda390d45ac246cb1,0,0,0,0,0
17f50ce9b34894cdafdc38e6ecec6be9b6f8f04c,0,1,0,0,0
c51e5810a2c50c424998122f9ababfb2d5598d2d,0,0,0,0,0
ee6cf63dce9f8ff81114a1a06970f40d21c68d8a,0,0,0,0,0
a08e3e88072cea94ab07dc133fb591693876a7eb,0,0,0,0,0
b66855085468abead5c3ecafe92c5dfc11c2895c,0,0,0,0,0
ba135b116c138b5e6d18dae8092036971de6e01a,0,0,0,0,0
b7f11e53bdb276c8a08bb037c476f19d1999da3a,0,0,0,0,0
d02d577880b9d5cec5eee787652527c8ac8294ee,0,0,0,0,0
4c043C9311fDB8d535F80d31ed33b500e8aC9937,0,0,0,0,0
ba4308e201f9aaefaf30cea36298b5e2440dca2e,0,0,0,0,0
e5ee9c8db5e99bae67bad28ce5fbb975df3f75df,0,0,0,0,0
8faaf17fe952af5f2c24294ba75678a0f7196c28,0,0,0,0,0
10f36dFFe99f78974c3d22F8d7d941151E00C164,0,0,0,0,0
49b3f5230248e6dc637860c842221a2748dfa3a7,0,1,0,0,0
90daa54f3167d2a985de784202ec0716295bff28,0,0,0,0,0
01be4fe7b40a9bf7c9c73b1713b9823285f4387a,0,0,0,0,0
0187dba7384a88a0c08991c87bb5016c319e61b6,0,1,0,0,0
36A41731A51e3Da0813718bB2390Dc78cEf12717,0,0,0,0,0
bbba5ba03d948d0a4cc010ca03d3b6e1b14f7098,0,0,0,0,0
3513f932001abc4095ecbf04075bc21b51a07da6,0,0,0,0,0
a9f970d1432f70e2d6a5c8670cea502bd888e6d6,0,0,0,0,0
1aa7b6274926c28721e0e81c75c09d208e9c947c,0,0,0,0,0
BbaaC20B5256Bb50d9Ecb3b99Ea7917014CC4351,0,0,0,0,0
abff9db7ea68767663c0ff1f297a974615e3cbfc,0,0,0,0,0
07e8c21d8413c9cbf1137bf0788eca644748f2bf,0,0,0,0,0
e4c88081c27fcbc1c8dcde4d74b76dc5dc97d92b,0,0,0,0,0
8cfa0a26781b69c60697d0f2ba6119f32d6262f5,0,0,0,0,0
f35af85f15d60f9416f572a0a7b95f796ea646c5,0,0,0,0,0
